^:<name=gwgz footnote=ck nocheck=true>	note
22.21	言我未嘗有怨于君，君亦未嘗有德于我，有怨則報怨，有德則報德，我無怨而君無德，故不知所報也。 ○臣怨君德，分貼得好。不知二字，更妙。
22.22	不穀，諸侯謙稱。言雖是如此，必告我以相報之事。 ○共王一團興致，被知罃說得雪淡，無可奈何，又作此問。
22.23	身雖死，而楚君之私恩，不朽腐也。 ○客意，一層。
22.24	稱于異國曰外臣。首，荀首也。宗，荀氏之宗也。 ○客意，二層。 ○此雖二客意，然顯見晉之國法森然，家法森然。
22.25	若君不許戮。 ○轉入正意。
22.26	使繼祖宗之職。
22.27	以次及于軍旅之事。
22.28	率。
22.29	其父爲上軍佐，故曰帥偏師。修，治也。
22.30	雖遇楚之將帥，亦不敢違避。 ○一敢字，應上二敢字。
22.31	忠晉卽以報楚。妙。
22.32	收煞得好。
23.1	成公十三年 左傳
23.2	Main|呂相絕秦
23.3	厲公。
23.4	去聲， ○魏錡之子。
23.5	成十一年，秦晉盟于令狐，秦桓公歸而叛盟，故厲公使呂相數其罪而絕之。
23.6	下皆呂相口宣君命。
23.7	晉。
23.8	秦。
23.9	去聲。
23.10	同婚。
23.11	從秦晉相好說起。
23.12	驪姬之難。
23.13	重耳。
23.14	夷吾。
23.15	重耳奔狄及齊，齊桓公妻之。夷吾奔梁，賂秦以求納。
23.16	晉無福祿，而獻公卒。
23.17	應「相好」。
23.18	僖十年，穆公納夷吾于晉，爲惠公。 ○說秦德輕。
23.19	僖十五年，秦伐晉，戰于韓原，獲惠公。 ○說秦爲德不終。是秦第一罪案。
23.20	惠公卒，懷公立，穆公納重耳于晉爲文公。是穆成安晉之功也。 ○作一頓，說秦德輕。
23.21	患。
23.22	印。
23.23	擐，貫也。胤，嗣也。文公備歷艱難，以率東方之諸侯，皆四代帝王之嗣，而西向朝秦。 ○二十九字作一句讀。
23.24	應「舊德」，又作一頓。說晉有報，卽宕下以敍晉德。
23.25	亦。
23.26	率。
23.27	怒，猶犯也。 ○誣秦。僖三十年，鄭貳于楚，文公與秦圍之。鄭未嘗犯秦，亦無諸侯之師。 ○說晉德重。
23.28	鄭使燭之武見秦穆公，穆公背晉而私與鄭盟。不敢斥言，故托言秦大夫。 ○是言秦第二罪案。
23.29	皆欲致死命以討秦。 ○誣秦。無諸侯致命之事。
23.30	旋。
23.31	不敢怨秦背己，反保全其師。
23.32	又作一頓，說晉大有德于秦，能自占地步。
23.33	以文公死爲無知而輕蔑之。
23.34	以襄公新立爲寡弱，而陵忽之。
23.35	迭，侵突也。穆公從杞子之謀，潛師以襲鄭，道過晉之殽地。
23.36	干。
23.37	奸犯斷絕，不復與我和好。
23.38	誣秦。襲鄭時，無伐晉保城之事。
23.39	如字。
23.40	還入聲， ○滑，姬姓國，都于費。秦襲鄭無功，乃滅滑還。
23.41	滑與晉爲同姓兄弟。
23.42	滑鄭皆從晉，是爲晉同盟之國。
23.43	福。
23.44	秦伐滑圖鄭，是欲傾危覆滅晉之國家。 ○疊寫九箇「我」字。 ○是秦第三罪案。
23.45	未忘穆公納文公之勳。 ○折一筆。
23.46	實恐晉爲秦滅。
23.47	僖三十三年，晉敗秦于殽。 ○我「是以有」一，言殽師出于萬不得已也。
23.48	晉雖有殽師之失，猶願求解于秦。 ○「猶願」二字，緊接無痕，妙。
23.49	不肯釋憾。
23.50	文十四年，楚鬭克囚于秦。至是秦使歸楚，求成以謀晉。
23.51	幸天默誘人心，而商臣弒楚成王。
23.52	楚有篡弒之禍，穆公是以不能快意于晉。設使成王未隕，而卽楚謀我之志成矣。 ○是秦第四罪案。 ○自獻公卽世，至此作一截，是歷數秦穆公之罪。
23.53	秦。
23.54	晉。
23.55	秦。
23.56	晉。
23.57	晉之外甥。
23.58	掘。
23.59	闕，猶掘也。翦，截斷也。
23.60	謀。
23.61	蟊賊，皆食禾蟲，以喻公子雍。謂秦納雍以蕩搖晉之邊鄙。 ○誣秦。雍之來，晉實召之。 ○疊寫四箇「我」字。 ○是秦第五罪案。
23.62	平聲。
23.63	文七年，晉敗秦于令狐。 ○我是以有二，言令狐之役，出于萬不得已也。
23.64	銓， ○悛，改也。
23.65	河曲，晉地。事在文十二年。
23.66	速。
23.67	涑川，水名。
23.68	俘，虜也。王官，地名。 ○伐涑川，俘王官，經傳無見。
23.69	羈馬，地名，其時秦取其地。 ○疊寫四箇「我」字。 ○是秦第六罪案。
23.70	晉與秦戰于河曲，秦兵夜遁。 ○「我是以有」三，言河曲之戰，出于萬不得已也。
23.71	晉在秦東，故曰東道。康公絕晉之好，故不東通于晉。 ○此段獨拖一句，妙。 ○自穆襄卽世至此，作一截，是歷數秦康之罪。
23.72	君，指秦桓公。
23.73	景公望秦撫卹晉國。 ○此處獨作一波，妙。
23.74	去聲。
23.75	桓公不肯惠然稱晉望而共盟。
23.76	去聲， ○謂宣十五年，晉滅赤狄潞氏時。
23.77	告， ○河縣，箕郜，晉二邑名。入河縣，焚箕郜，經傳無見。
23.78	刪。
23.79	芟，刈也。夷，傷也。損害我禾稼，如去草然。
23.80	垂， ○虔劉，皆殺也。殺戮我邊境之人民。 ○疊寫四箇「我」字。 ○是秦第七罪案。
23.81	晉聚衆于輔氏以拒秦。 ○我是以有四。言輔氏之聚，出于萬不得已也。 ○「之師」，「之役」，「之戰」，「之聚」，句法變幻。
23.82	驕。
23.83	桓公亦悔二國結禍之長，而欲我求福于晉獻，秦穆。
23.84	秦桓公子。
23.85	汝。
23.86	言我與晉同結所好，共棄前惡，再修舊日之德，以追念前人獻，穆之功勳。』 ○此段迴應篇首獻，穆相好。關鎖甚緊。
23.87	約誓之言，未及成就。
23.88	厲公。
23.89	成十一年，晉厲公與秦桓公盟于令狐。 ○入題。又與上四我是以有句相呼應。
23.90	佩。
23.91	桓公又萌不善之心，歸而背晉成。 ○此下方入當時正事。
23.92	及，與也。白狄與秦，皆屬雍州。
23.93	白狄與秦世爲仇讎。
23.94	赤狄之女季隗，白狄伐而獲之，納諸文公。故云婚姻。 ○疏句無限烟波。
23.95	去聲， ○深文。
23.96	狄雖口應秦命，心實憎其無信，而以秦之二心來告晉。 ○一「告我」。
23.97	惡秦反覆不常。
23.98	下述秦桓盟楚之詞。
23.99	穆，康，共。
23.100	成，穆，莊。
23.101	我雖與晉往來。
23.102	我唯利之是從，不誠心與晉也。 ○二十四字，一氣說下。
23.103	不穀，楚共王告晉自稱。言我惡秦之無成德，是用宣布其言，以懲戒用心不一之人。 ○二「告我」。 ○兩引「告我」，俱是實證。是秦反覆真正罪案。 ○自及君之嗣，至此作一截，是歷數秦桓之罪。爲絕秦正㫖。
23.104	狄與楚告晉之言，諸侯無不聞之。 ○牽引諸侯妙，使秦無所逃罪。
23.105	銀入聲。
23.106	諸侯由是惡秦之甚，皆來親近于晉。 ○一路備說秦惡，歸到此句。
23.107	我今帥諸侯以來聽命于秦，唯與秦結好是望耳。 ○終是求好，妙。
23.108	是客。
23.109	是主。 ○句句牽引諸侯，妙。
23.110	或和或戰，當圖謀其有利于秦者而爲之。
24.1	襄公十四年  左傳
24.2	Main|駒支不屈于晉
24.3	晉會諸侯于向，爲吳謀楚。
24.4	戎，四嶽之後，姜姓。駒支，戎子名。
24.5	晉士匄。
24.6	上聲。
24.7	執之何名？乃于未會前一日，數其罪而責之。朝，會向之朝位也。
24.8	先呼來，次呼姜戎氏！便是相陵口角。
24.9	乃，汝也。吾離，戎祖名，昔爲秦穆公迫而逐之。瓜州，今燉煌地。
24.10	披。
24.11	閃平聲。
24.12	合。
24.13	苫蓋，白茅也。無衣，故被苫蓋，無居，故蒙荆棘。先君，謂惠公。 ○極寫其流離困苦之狀，以出戎醜。
24.14	忝。
24.15	汝。
24.16	腆，厚也。中分爲剖。 ○寫加恩于戎，非復尋常，宜後世報答不已
24.17	諸侯事晉，不比昔日。
24.18	職，主也。戎與晉同壤，盡知晉政闕失。是言語漏洩于諸侯，由汝戎實主之。不然，今日諸侯之事晉，何遂不如昔日乎？ ○懸空坐他罪名。
24.19	乞。
24.20	詰朝，明日也。事，謂會事。
24.21	去聲。
24.22	寫得聲色俱厲，令人難受。
24.23	秦恃強而欲得土地，所以逐我。 ○此辨戎祖被逐，則秦人實惡，非戎之醜。
24.24	涓。
24.25	異。
24.26	蠲，明也。四嶽，堯時方伯。裔胄，後嗣也。翦棄，滅絕也。 ○此辨惠公加德于戎，乃因戎本聖裔，禮應存恤，不爲特惠。
24.27	豪。
24.28	賜我之田，荒穢僻野，非人所止。我力爲驅除而處之，以臣事晉之先君。不內侵，亦不外叛，至於今日，不敢攜貳。 ○此辨晉剖分之田，至爲敝惡，戎自開墾，非受實惠。
24.29	恕。
24.30	舍，留也。僖三十年，秦晉圍鄭，鄭使燭之武見秦君，秦私與鄭盟，而留杞子等戍鄭而還。
24.31	僖三十三年，晉敗秦師於殽。
24.32	當殽之戰，晉遏秦兵于上，戎當秦兵于下。秦師無隻輪返，我諸戎效力攻秦，實使之然。{{*|○此辨戎大有功于晉，亦足云報。
24.33	雞上聲。
24.34	同「仆」。
24.35	譬如逐鹿，晉執其角以禦上，戎戾其足以亢下，是戎與晉同斃此鹿也。 ○一喻入情。
24.36	戎有功如此，何故尚不免于罪乎？ ○問得妙。
24.37	剔， ○自敗秦以來，晉凡百征討之役，戎皆相繼以從執政之使令。猶從戰于殽，無變志也。豈敢有離貳逷遠之心？ ○此辨戎之報晉，不止殽師一役，至于百役，不可勝數。以足上「至于今不貳」意。
24.38	今晉之將帥，或自有闕失，以攜貳諸侯之心，而乃罪及我諸戎。 ○此辨諸侯事晉不如昔者，乃晉實有闕，與我諸戎無干。
24.39	惡，指漏洩言語以害晉。 ○此辨「言語洩漏」，職汝之由。言戎與華不相習，非但不敢爲惡，亦不能爲惡。
24.40	孟。
24.41	瞢，悶也。我不與會，亦無所悶。 ○此辨「詰朝之事，爾無與焉。」言我亦不願與會也。說得雪淡，妙。
24.42	《青蠅》，《詩·小雅》篇名。賦是詩者，取「愷悌君子，無信讒言」之意。蓋譏宣子信讒言也。退，去，不與會也。
24.43	辭，謝也。宣子自知失責，故謝戎子，而使就諸侯之會。
24.44	欲成愷悌君子之名。 ○結出宣子心內事，妙。
25.1	襄公二十一年  左傳
25.2	Main|祁奚請免叔向
25.3	晉大夫。
25.4	范宣子逐之，故出奔。
25.5	虎，盈黨。叔向，虎之兄。
25.6	同罹。
25.7	智。
25.8	譏叔向無保身之哲。
25.9	雖被囚，猶勝于死亡。
25.10	《詩》言君子優游于亂世，聊以卒吾之年歲。《註疏》以爲《小雅·采菽》之詩。按《采菽》無聊以卒歲之文，恐是逸詩。
25.11	此乃所以爲知也。 ○叔向已算到可以不死。不知者，焉能有此定見？
25.12	附， ○晉大夫。
25.13	爲子請于君而免之。
25.14	大是駭人。
25.15	自然見咎。
25.16	謂祁奚也。能免我者，必由此人。胸中涇渭，介然分明，是爲真智。
25.17	家臣之長。
25.18	常人只是常見。
25.19	惟阿意順君，何能行此救人之事。 ○提過樂王鮒一邊。
25.20	舉其讎，解狐。
25.21	舉其子，祁午。
25.22	其獨遺我一人而不救乎。
25.23	去聲。
25.24	詩，大雅，抑之篇，言有正直之德行，則天下順之。
25.25	祁大夫，覺然正直者也。 ○收句冷雋。
25.26	平公。
25.27	問其果與弟虎有謀否。
25.28	言叔向篤于親親，其殆與弟有謀焉。 ○譖語，故作猜疑，妙。
25.29	告老致仕。
25.30	聞叔向被囚。
25.31	日。
25.32	馹，傳車也。乘馹，恐不及也。
25.33	《詩·周頌·烈文》篇，言文武有惠訓之德，及于百姓，無有疆域，故周之子孫，皆保賴之。
25.34	《書·夏書·胤征》篇。言聖哲之有謨謀功勳者，當明證其謨勳而定安之。
25.35	上聲。
25.36	謀少過失，聖有謨勳也。惠訓不倦，惠我無疆也。
25.37	此社稷所賴以安固也。 ○「社稷」二字，是立言之㫖。
25.38	假使其十世之後，子孫有罪，猶當寬宥之，以勸有能之人。今壹以弟故不免其身，以棄社稷之所倚賴，不亦惑之甚乎？○此言叔向之能，尚可庇子孫之有罪，豈可及身見殺？
25.39	不以父罪廢其子。
25.40	去聲。
25.41	不以一怨妨大德。
25.42	兄弟罪不相及。
25.43	此言不當以弟虎罪及叔向。 ○兩提棄社稷，叔向之身，何等關係。
25.44	子若力行善事，誰敢不勉于爲善。何必多殺，然後人不敢爲惡乎？ ○歸到宣子身上，亦復善于勸解。
25.45	悅。
25.46	去聲， ○與祁奚共載。
25.47	祁奚不見叔向而歸，以見爲社稷，非私叔向也。
25.48	叔向亦不告免于祁奚，而卽往朝君。以明祁奚之非爲己也。 ○兩不相見，徑地俱高。
26.1	襄公二十四年  左傳
26.2	Main|子產告范宣子輕幣
26.3	晉士匄。
26.4	將中軍。執國政。
26.5	諸侯朝貢於晉者，其幣增重。幣，禮儀也。
26.6	病，患也。
26.7	簡公。
26.8	寓，寄也。子西相鄭伯如晉，故子產寄書與子西，以勸告宣子。
26.9	爲晉執政。 ○只此四字，落筆便妙。
26.10	牽引四鄰，妙。
26.11	不聞有善德，但聞增重諸侯之幣。 ○先提「令德」，引起「令名」。
26.12	子產名。
26.13	掌。
26.14	毀。
26.15	賄，財也。令名，善譽也。 ○賄字，從重幣推出。「令名」，從「令德」推出。 ○二句，是一篇主意。
26.16	斂諸國之財，而積聚于晉之公室，則諸侯離心于晉。
26.17	若汝自利賴其財，而私入于己，則晉人離心于汝。
26.18	晉不能保國。
26.19	汝不能保家。
26.20	何其沉溺而不反也。
26.21	賄之爲禍如此，將安用之。 ○此段申非無賄之患句。
26.22	有德者，必以令名爲輿，始能遠及。
26.23	有國者，必以令德爲基，始能自立。
26.24	有德以爲基，故國家不壞。 ○一「壞」字，應上兩「壞」字。
26.25	無亦以是令名爲先務乎！ ○從名轉德，從德轉國家，從國家轉無壞，筆筆轉，筆筆應。
26.26	洛。
26.27	務令名在有德，有德則樂與人同，而能久居其位。
26.28	《小雅》之詩。言君子有德可樂，則能立國之基，使之長久。有令德之謂也夫！ ○引《詩》證德爲國家之基。
26.29	汝。
26.30	《大雅》之詩。言上帝鑒臨武王之德，則下民無敢有離貳之心。有令名之謂也夫！○引詩證名爲德之輿。一「貳」字，應上四「貳」字。 ○此段申「無令名之難」句。
26.31	以恕存心，而自明其德，則自然有令名以爲之輿。而載是德以行于世，所以遠者聞風而至，近者賴德而安，爲國家之基也。 ○又合德與名，雙收一筆，遒緊。
26.32	毋寧，寧也。寧可使人議論吾子，以爲子實能生養我民。而可謂子取民以自養乎。 ○以賄與令名二者，比並言之，語絕波陗，又疊用三「子」字，尤有態。
26.33	焚，斃也。象因有齒以殺身，以齒之有賄故耳。 ○指「賄」字作結，仍收到重幣上。見有賄非但國壞家壞，而且身亦壞也。是危語，亦是冷語。
26.34	悅。
27.1	襄公二十五年  左傳
27.2	Main|晏子不死君難
27.3	崔杼。
27.4	同「娶」。
27.5	棠姜，齊棠公之妻也。棠公死，崔杼往弔，見而美之，遂娶之。
27.6	齊莊公與之私通。
27.7	死于淫亂。
27.8	莊公死于崔杼之家。其門未啓，故晏子立于其門外。
27.9	晏子左右。
27.10	爲君死難。
27.11	君不獨我之君，我何爲獨死。
27.12	棄國而奔。
27.13	君死非我之罪，我何爲逃亡。
27.14	旣不死難，又不出奔，則當歸家。何必立于此地。
27.15	臣以君爲天，君死將安歸？ ○死亡旣不必，歸又不可，于此可覘賢者立身。
27.16	去聲。
27.17	陵，居其上也。口實，祿也。養，奉也。君不徒居民上，臣不徒求祿，皆爲社稷。 ○「社稷」與「己」字對看。是立言之㫖。
27.18	銀入聲。
27.19	平聲。
27.20	己，指淫亂之事。私暱，嬖幸之臣，同君爲惡者。「敢」字妙。言雖欲死亡，限于義也。 ○從社稷立論，案斷如山，不可移易。
27.21	人，指崔子。人有君，便見非社稷主也，妙。
27.22	收上死，亡，歸，三段。
27.23	崔子啓門，而晏子入。
27.24	以公尸枕己股而哭之。
27.25	旣哭而興。
27.26	勇。
27.27	踴，跳也。哀痛之至，故三踴乃出。 ○寫晏子盡禮。
27.28	捨。
27.29	甚狡。
28.1	襄公二十九年 左傳
28.2	Main|季札觀周樂
28.3	札，吳壽夢之子，季札也。吳子夷昧新立，使來聘魯。
28.4	成王賜魯以天子之樂，故周樂盡在魯。 ○「請觀」二字伏案。
28.5	使我樂工也。 ○二字直貫到底。
28.6	去聲。
28.7	邵。
28.8	爲之，爲季札也。以下段段著「爲之」，見當時重季札。
28.9	美其聲也。
28.10	文王之化，基于二《南》，猶有商紂之虐政，其化未洽于天下。然民賴其德，雖勞于王室，而亦不怨。 ○一句一折。
28.11	佩。
28.12	容。
28.13	三國，乃管，蔡，武庚三監之地，康叔封衛，兼而有之。今三國之詩，皆衛詩也，而必別而三之者，豈非以疆土不同，故音調亦從而異歟？
28.14	淵，深也。亡國之音哀以思，其民困，衛遭宣公淫亂，懿公滅亡，賴有先世之德，雖憂思之深，而不至于窮困。
28.15	康叔，衛始封之君。武公，其九世孫。言吾聞二公德化入人之深如是。是得非《衛國風》之詩乎？ ○穆然神遇。
28.16	王，周平王也。平王東遷，王室下同于列國，故其詩不得入《雅》，而《黍離》降爲《國風》。
28.17	思文武而不畏播遷，其東遷以後之詩乎。
28.18	美有治政，而譏其煩瑣。民旣不支，國何能久？
28.19	央。
28.20	泱泱，弘大之聲。大風，大國之風也。 ○變調。
28.21	太公爲東海之表式，國祚不可限量。
28.22	按今《豳風》列于《國風》之終，與此次序不同者，蓋此時未經夫子刪定故也。
28.23	洛。
28.24	蕩，廣大之貌。周公遭流言之變，東征三年，爲成王陳后稷先公樂于農事而不敢荒淫，以成王業，故曰周公之東。
28.25	秦起自西戎，至秦仲始有車馬禮樂，去戎狄而有諸夏之聲。 ○變調。
28.26	夏有大義，西戎而有夏聲，則大之至。秦襄公佐平王東遷，盡有西周之地，故云「周之舊」。
28.27	凡。
28.28	渢渢，中庸之聲。高大而又婉順，險阻而又易行，所以爲中庸也。惜其無德以輔之爾。 ○變調。
28.29	此晉詩也，而謂之唐者，唐本叔虞始封之地也。
28.30	歎其憂深思遠。
28.31	晉本唐堯故地，故其遺俗猶存。
28.32	何其憂深思遠，情發乎聲。
28.33	非承繼陶唐盛德之後，安能如此？ ○一句一折。
28.34	淫聲放蕩，無復畏忌，故曰無主。其滅亡將不久。 ○全是貶詞。
28.35	貴。
28.36	《鄶》，曹之詩。不復議論。微之也。
28.37	思文武之德，而無反叛之心。
28.38	怨商紂之政，而能忍而不言。
28.39	其周德未盛之時乎？
28.40	猶有殷先王之遺民，故周未能盛大。
28.41	廣，大也。熙熙，和樂聲。 ○變調。
28.42	其聲委曲，而有正直之體。
28.43	得非文王之盛德乎。
28.44	獨贊其「至」，與贊他歌不同。
28.45	直而不失于倨傲。
28.46	曲而不失于屈撓。
28.47	近而不至于逼害。
28.48	遠而不至于攜貳。
28.49	遷動而不至于淫蕩。
28.50	反覆而不爲人厭棄。
28.51	雖遇凶災，不至憂愁。
28.52	雖當逸樂，不至荒淫。
28.53	用之不已，不至窮匱。
28.54	志雖廣大，不自宣揚。
28.55	雖好施與，無所費損。
28.56	或有所取，不至貪求。
28.57	㫖， ○雖復止處，而不底滯。
28.58	雖常運行，而不流放。 ○總贊其德之無偏勝。一氣連用十四句，何等筆力。
28.59	五聲，宮、商、角、徵、羽。
28.60	八風，八方之氣。
28.61	八音克諧。
28.62	無相奪倫。 ○再襯四句，更有力。
28.63	周，魯，商三頌，盛德皆同。 ○以上是歌，以下是舞。上俱以「爲之」二字引起，下俱以「見」字引起。上皆是反覆想像，下語多著實，蓋聞虛而見實也。
28.64	宵。
28.65	箾、籥，皆舞者所執。象箾，武舞也。南籥，文舞也。皆文王之樂。
28.66	美其容也。
28.67	文王恨不及已致太平。
28.68	大武，武王之樂。
28.69	武王興周之盛。
28.70	四字，形容不出，是贊詞，亦是微詞。
28.71	獲。
28.72	韶濩，湯樂。
28.73	湯德寬弘。
28.74	猶有可慙之德，謂始以征伐而得天下。
28.75	以見聖人處世變之難。 ○一句一折。
28.76	勤能治水，而不自矜其德。
28.77	非禹之聖，誰能修舉其功。
28.78	同蕭。
28.79	《書》曰：「《蕭韶》九成，蓋舜樂之總名。
28.80	贊其「至」，復贊其「大」，與贊他舞不同。
28.81	所以爲大。
28.82	所以爲至。
28.83	應「觀」字。 ○三字，收住全篇。
28.84	應「請」字。
29.1	襄公三十一年 左傳
29.2	Main|子產壞晉館垣
29.3	去聲。
29.4	簡公。
29.5	平公。
29.6	以魯襄公喪故。
29.7	見則有宴好，雖以吉凶不並行爲辭，實輕鄭也。
29.8	怪。
29.9	盡毀館舍之垣墻，而納己之車馬。 ○駭人，蓋見得透，故行得出。
29.10	名匄，字伯瑕。
29.11	責子產。
29.12	晉國不能修舉政刑，致使盜賊之多。
29.13	諸侯卿大夫，辱來見晉君者，無如之何。 ○十二字句。
29.14	翰。
29.15	去聲， ○閈閎，館門也。高其門，厚其墻，則館舍完固，而客使可無寇盜之憂。 ○已上敍設垣之由，以見晉待客一段盛意。
29.16	去聲。
29.17	雖汝從者自能防寇，他國賓客來，將若之何。 ○一詰，意甚婉。
29.18	緝。
29.19	同供。
29.20	晉爲諸侯盟主，而繕治完固，以覆蓋墻垣，所以待諸侯之賓客。若來者皆毀之，將何以供給賓客之命乎？{{*| ○再詰，詞甚嚴。
29.21	蓋。
29.22	請問毀墻之命。 ○明是問罪聲口。
29.23	褊，狹也。介，間也。誅，責也。大國責求無常時，我盡求敝邑之財賦，以隨時而朝會。 ○此責晉重幣，以敍鄭來晉之由。
29.24	閑。
29.25	現。
29.26	適遇晉君以魯喪無暇，遂不得見。又不獲聞召見之命，未知得見的在何時。 ○此責晉慢客。
29.27	僕。
29.28	旣不敢以幣帛輸納于庫，又不敢以幣帛暴露于外。 ○此言鄭左難右難，下復雙承暢言之。
29.29	輸之。則幣帛乃晉府庫之物。非見君而進陳之，則不敢專輒以物輸庫也。
29.30	{{*|若暴露之，又恐晴雨不常，致使幣帛朽蠹，適以增重鄭國之罪。
29.31	○左難右難如此。 ○「輸幣」、「暴露」，雖並提，然側重暴露一邊，已說盡壞垣之故。
29.32	子產名。
29.33	只因「敝邑爲盟主」句，提出晉文公來壓到他。下乃歷敍文公之敬客，以反擊今日之慢客，妙。
29.34	陛。
29.35	貫。
29.36	謝，{{*| ○庳，小也。闕門曰觀。築土曰臺。有屋曰榭。 ○文公自處儉約如此。
29.37	待客又極其隆也。 ○總一句，下乃細列之。
29.38	館如晉君之寢室。 ○一。
29.39	館中藏幣之庫，養馬之廏，皆繕治修葺。 ○二。
29.40	異。
29.41	司空，掌邦土。易，治也。 ○三。
29.42	烏。
29.43	覓。
29.44	圬人，泥匠也。塓，塗也。 ○四。 ○諸侯未至之先如此。
29.45	甸人設照庭大燭。 ○五。
29.46	至夜廵警于宮中。 ○六。
29.47	車馬皆有地以安處。 ○七。
29.48	去聲。
29.49	賓之僕從，有人代役。 ○八。
29.50	巾車，主車官。以脂膏塗客人之車轄。轄，車軸頭鐵。 ○九。
29.51	語。
29.52	徒隸之人，與夫牛之牧，馬之圉，各瞻視其所當供客之事。 ○十。
29.53	官屬各陳其待客之物。 ○十一。 ○諸侯旣至之後，又如此。
29.54	不久留賓，賓得速去，則事不廢。國有憂樂，與賓同之，事有廢闕，爲賓察之，賓有不知，則訓教之；賓有不足，則體恤之。○上十一句，是館中事。此六句，是文公心上事。
29.55	同「災」。
29.56	總承上文言文公待諸侯如此，以故賓至晉國，不異歸家，寧復有菑患乎。縱有寇盜，無所畏懼，雖有燥溼，不至朽蠹。 ○此文公之爲盟主然也。
29.57	低。
29.58	銅鞮，晉離宮名。○與宮室卑庳二句相反。
29.59	諸侯館舍，僅如徒隸之居，門庭狹小，車馬難容。又有墻垣之限，不可越而過之。 ○與「崇大諸侯之館」五句相反。并破「高其閈閎」二句。
29.60	夭厲，疾疫也。指挽車之人馬言。 ○與甸設庭燎九句相反。并破無憂客使一句。
29.61	賓之進見，未有時日。召見之命，不得而知。 ○與公不留賓一段相反。又挽「逢執事之不閒」四句。
29.62	若不毀壞墻垣，是使我暴露其幣帛，以致朽蠹，是增重其罪也。 ○挽「不敢輸幣」，又「不敢暴露」二句。
29.63	反詰之，妙。正對「寡君使匄請」命句。
29.64	晉、鄭皆與魯同姓，晉之憂，亦鄭之憂也。 ○使晉無所藉口。
29.65	若得見晉君而進幣，鄭當修築墻垣而歸，則拜晉君之賜。敢畏修垣之勞乎？ ○結出修垣細事，明是鄙薄晉人。 ○已上句句與文公相反，且語語應前，妙。
29.66	信如子產所言。 ○只一字，寫心服妙。
29.67	贏，受也。
29.68	注「信」字。
29.69	極寫子產。
29.70	去聲。
29.71	改築館舍，所謂諸侯賴之也。 ○收完正文。
29.72	「如是夫」三字，沉吟歎賞，信服之至。
29.73	不止鄭是賴。
29.74	釋，廢也。
29.75	《詩·大雅》。言辭輯睦，則民協同，辭悅懌，則民安定，詩人其知辭之有益矣。 ○以叔向贊不容口作結，妙。
30.1	襄公三十一年  左傳
30.2	Main|子產論尹何為邑
30.3	名罕虎，鄭上卿。
30.4	去聲。
30.5	尹何年少，未知可使治邑否。
30.6	愿，謹厚也。叛，背也。言吾愛其謹厚，必不吾背。 ○平日可信。
30.7	扶。
30.8	兩夫字，指尹何。言謹厚之人，使往治邑而學爲政，當愈知治邑之道矣。 ○後日又可望。故雖年少，亦可使之爲政。
30.9	總斷一句。
30.10	必求有以利益之。
30.11	今汝愛尹何，則使之爲政。
30.12	譬如未能執刀，而使之宰割，其自傷必多。
30.13	非以愛之，實以害之，誰敢求汝之見愛。 ○一喻，破吾愛之句。
30.14	催。
30.15	子產名。
30.16	壓。
30.17	鄭國有汝，猶屋之有棟，榱，椽也，棟以架椽，設使汝誤事而致敗，譬如棟折而椽崩，則我亦處屋下，將爲其所壓，敢不盡情言之？○二喻。言如此用愛，不但傷尹何，僑亦且不免。「敢不盡言」句，鎖上起下。
30.18	譬如汝有美錦，必不使不能裁者學裁之，惟恐傷錦。
30.19	身之所庇以安者，而使學爲政者，往裁治焉，不恐傷身。
30.20	亦思官邑之爲美錦，不較多乎。 ○三喻，破使夫往而學句。
30.21	二句是立言大㫖。
30.22	非自害，則害于治。
30.23	慣。
30.24	壓。
30.25	福。
30.26	敗績，壞車也。言求免自害且不能，何暇求其無害于治。 ○四喻，破夫亦愈知治句。 ○一喻尹何，二喻自己，三喻子皮，四又喻尹何，隨手出喻，絕無痕跡。
30.27	君子小人以識言。
30.28	此其小者近者。
30.29	美錦不使學製。
30.30	此其大者遠者。
30.31	官邑欲使學製。
30.32	無子之言，吾終不自知其失，所以爲無識之小人。 ○仍援前喻，更覺入情。 ○論尹何至此已畢。
30.33	他日，前日也。前日我嘗有云，子治鄭國，我治吾家，以庇身焉，其或可也。
30.34	前日我猶自以爲能治家，今而後知謀慮不足，雖吾家亦須聽子而行。 ○此子皮自謂才不及子產，字字纏綿委婉。
30.35	人面無同者，其心亦然。
30.36	卽面觀心，則汝之心，未必盡如吾之心。豈敢使子之家事，皆從我所爲乎。 ○此五喻也，通篇是喻，結處仍用喻，快筆靈思，出人意表。
30.37	但于我心有所不安，如使尹何爲邑者，亦必盡言以告也。 ○仍繳正意。一筆作收。
30.38	以子產盡心于己，故以國政委之。
30.39	結出子產治政之由。
31.1	昭公元年  左傳
31.2	Main|子產卻楚逆女以兵
31.3	楚令尹。
31.4	段，鄭大夫，子石也。圍娶其女。 ○圍將會諸侯之大夫于虢，以虢係鄭地，故行此聘娶二事。
31.5	椒舉也。
31.6	副使曰介。 ○補敍椒舉者，伏後垂櫜之請也。
31.7	將入鄭而館。
31.8	以其徒衆之多，恐懷詐以襲己也。
31.9	子羽之言不載。
