^:<name=gwgz footnote=ck preload=true>	note
39.施	施行。這句指的是黃帝、顓頊、嚳、堯、契、周文王等“聖王”。堯、舜、禹及其以前的歷史人物，都出于傳說。
39.死	不顧性命。這句指的是舜、鯀、冥、后稷。
39.定	安定。這句指的是柱、棄、后土、幕、杼、上甲微、高圉、太王。
39.御	防御。這句指的是禹。
39.捍	抵擋。這句指的是商湯、周武王。
39.烈山氏	一作厲山氏，即炎帝。傳說是上古時代姜姓部落首領。一說是神農氏。
39.柱	在夏代以前已被祀為谷神。
39.棄	周族的始祖，傳說他降生后被多次拋棄，故名棄。后做農官，叫稷，死后祀為谷神。
39.共工氏	上古時代的部落首領。
39.后土	名句龍，共工氏部落的后裔。輔佐黃帝，為土官。
39.黃帝	傳說姓姬，號軒轅氏，中原各族的共同祖先。曾打敗炎帝與蚩尤的部落，成為各部落聯盟領袖，有很多創造發明。
39.成命	定名。
39.顓頊	傳說是上古時代部落首領，號高陽氏。他對原始宗教有所改革，使民政與巫術脫離。
39.帝嚳	傳說是上古時代的部落首領，號高辛氏。對于天文歷法有貢獻。
39.堯	名放勛，號陶唐氏。是父系氏族社會后期部落聯盟首領。曾選拔舜為繼承人，一說堯被舜殺死。
39.單	通“殫”，竭盡。
39.舜	姓姚，名重華，號有虞氏。是父系氏族社會后期部落聯盟首領，曾選拔禹為繼承人。一說舜被禹放逐，死于蒼梧。
39.鯀	傳說是父系氏族社會后期部落首領，號崇伯。堯命他治水，因筑堤防水失敗，被堯殺死于羽山。
39.禹	姓姒，號文命。是父系氏族社會末期部落聯盟首領。他改進其父鯀的治水方法，以疏導為主，取得成功。史稱夏禹或夏后氏。
39.契	商族的始祖。幫助禹治水有功，被舜任為司徒，掌管教化。
39.冥	傳說是契的六世孫，在夏代為水官。
39.官	職務。
39.湯	又稱成湯，成唐。商族首領。任用伊尹執政，在征服鄰近小國后，滅夏桀，建立商朝。
39.邪	邪惡勢力，指夏桀。
39.文王	周族首領，姓姬，名昌，“文”是謚號。周武王之父。傳說他被紂王囚禁期間，對《周易》的思想內容有所發揮。
39.武王	姓姬，名發，“武”是謚號。他利用其父開創的基業，率領四方諸侯在牧野打敗紂王，建立西周王朝。
39.穢	惡勢力，指紂王。
39.禘	古時天子祭祀先祖的大典，稱大祭。
39.祖	指祀開國之祖的祭禮。這里，禘、祖都用作動詞。
39.郊	天子在郊外祭天地的禮，也可以配祭祖先。
39.宗	祭宗族長的禮。這里，郊、宗都用作動詞。
39.郊鯀	夏代實行父死子繼制度，所以郊鯀而宗禹。
39.禘舜	與“有虞氏郊堯”同屬于對他們的崇拜，不是血緣關系。
39.幕	傳說是舜的后代，在夏朝成為本部族的首領。
39.報	報答恩德的祭禮。
39.杼	傳說是禹的后代，少康之子。
39.上甲微	契的后代，商湯的六世祖。其父王亥被有易氏首領綿臣殺死，他為父復仇，從有易氏手中奪回被搶的牛羊。
39.高圉	棄的十世孫，周族的首領。
39.太王	即古公蚮父，高圉的曾孫，文王的祖父。
39.生殖	生育繁殖。
39.己	原作“已”，因形似而誤，依別本改正。
39.難	不容易。
39.知	通“智”。
39.子	古代對男子的美稱。
39.策	古代用竹片或木片寫字，用繩編連起來。一篇文字稱為一策。
40.宣公	魯宣公，前608年—前591年在位。“宣”是謚號。
40.濫	下網捕魚。
40.泗	泗水，發源于今山東省泗水縣，經曲阜、濟寧等縣流入江蘇境內。
40.里革	魯大夫。
40.罟	魚網。
40.大寒	二十四節氣之一，在陽歷一月下旬。
40.土蟄	在地下冬眠的動物。
40.水虞	掌管水產及有關政令的官。
40.講	謀劃。
40.罛	大魚網。
40.罶	捕魚的竹簍子。窄頸，腹大而長，底部開口，魚從底部進去后，便出不來，也叫笱（gǒu）。
40.登	通“得”，求取。
40.川禽	水中動物，即下文的“魚鱉”、“水蟲”一類。
40.嘗	嘗新，古代的一種祭祀。統治者把應時的新鮮食品，先用于祭祀祖宗。
40.寢廟	這里指宗廟。古代統治階級的宗廟有廟和寢兩部分，前面的稱廟，后面的稱寢，合稱“寢廟”。
40.宣	疏通。
40.氣	這里指陽氣。孟春的氣溫漸暖，稱陽氣上升。
40.獸虞	掌管鳥獸及有關政令的官。
40.罝	捕兔的網。
40.羅	捕鳥的網。
40.矠	刺取。
40.槁	干枯。這里指干魚。
40.阜	生長。
40.罝䍡	當為“罣（zhǔ）䍡”，小魚網。
40.阱	捕獸的陷坑。
40.鄂	埋有尖木樁的陷坑。
40.槎	砍伐。
40.蘗	樹木經砍伐后再生的新枝。
40.夭	還未長大的草木。
40.鯤	魚子。
40.鮞	（ér）小魚。
40.麑	小鹿。
40.麌	小駝鹿。
40.鷇	初生的小鳥。
40.卵	輔助。這里是保護的意思。
40.舍	棄舍。
40.庶物	萬物。
40.藝	限度。
40.諗	規諫。
41.公父文伯	即公父歜（chù），敬姜之子，春秋時魯大夫。父，同“甫”。
41.朝	古代兒子見父母，也稱“朝”。
41.主	大夫或大夫之妻稱主。這里指敬姜。敬姜是魯大夫公父穆伯之妻，季康子的叔祖母，生公父文伯，早寡。“敬”是謚號。
41.干	冒犯。
41.季孫	季康子，名肥，季桓子之子。魯國的卿。
41.僮	通“童”。
41.備官	做官。
41.之	代指做官的道理。
41.王天下	稱王天下。
41.不材	不成才，無用。
41.大采	五采禮服。
41.朝日	古代天子祭祀日神的一種禮儀。每年春分節穿著五采禮服，朝拜日神。
41.三公	周朝中樞的最高長官，太師、太傅、太保。
41.九卿	周朝中樞分管各部門的最高行政長官，冢宰、司徒、宗伯、司馬、司寇、司空、少師、少傅、少保。
41.祖	熟習。
41.地德	古人將土地能生長萬物，養育人民的這種功用稱為地德。這里指土地上所生長的五谷。
41.師尹	大夫官。
41.惟	與。
41.旅	眾。
41.牧	地方長官。
41.相	輔佐。
41.少采	三采禮服。
41.夕月	古代天子祭祀月神的一種禮儀，每年秋分節穿著三采禮服，祭祀月神。夕：夜間祭祀。
41.太史	古代編著史書兼管星歷的官吏。
41.司載	主管天文的官。載，歲。古人紀年以木星在周天移動的位置作為標準，觀察日月星辰的變化，以辨吉兇。
41.糾	恭。
41.虔	敬。
41.刑	法。
41.九御	九嬪。指天子內宮的各種女官。
41.禘	古時天子祭祀祖先的大典，也稱大祭。
41.儆	警戒。
41.慆淫	怠慢、放蕩。
41.庀	治理。
41.家	這里指古代大夫的封地。
41.講貫	講解學習。
41.計過	計數過失，即省察自己的言行。
41.玄紞	王冠兩旁用來懸瑱（tiàn，古代冠冕上垂在兩側以塞耳的玉）的黑色絲繩。
41.纮	古代冠冕上的帶子，由頷下挽上而系在笄的兩端。
41.綖	覆在冠冕上的布。
41.大帶	緇帶，用黑帛做的束腰帶。
41.命婦	有封號的婦女。這里指大夫之妻。
41.列士	周代的士，分元士、中士、下士三等。下士也稱庶士。
41.社	祭祀土地神，春分節舉行。
41.賦事	布置農桑一類事務。
41.烝	冬天的祭祀。
41.獻功	獻出勞動得來的成果，如五谷布帛。
41.愆	過失。
41.辟	罪過，處罰。
41.下位	這里指大夫，在當時的統治階級中地位較低。
41.而	通“爾”，你。
41.修	勉勵。
41.承	擔任。
41.絕祀	斷絕了祭祀人。
41.仲尼	孔丘（前551—前479年），春秋時魯國人。他是儒家學派的開創者，也是個教育家。
41.淫	安逸。
42.叔向	羊舌氏，名肸（xī），字叔向，春秋時晉大夫。
42.韓宣子	韓起，“宣子”是謚號，春秋時晉國的卿。
42.實	實際。這里指財產。
42.二三子	這里指同朝的卿大夫。
42.欒武子	欒書，“武子”是謚號，春秋時晉國的上卿。
42.一卒之田	百頃田地。這是上大夫的俸祿。上卿的俸祿應有一旅之田五百頃。古時五百人為旅，百人為卒。
42.宮	居室。一本作“官”。先秦時住宅都稱宮室，至秦漢以后，“宮”才專指帝王的住宅。
42.越	超越國界，傳播美名。
42.諸侯	古代天子統轄下的各國君主的統稱。
42.不疚	沒有弊病。
42.難	指對欒書殺死晉悼公事的追究。
42.桓子	欒黡（yǎn），欒書之子，任下軍元帥，春秋時晉大夫。“桓”是謚號。
42.泰	過分。
42.略	干犯。
42.則	指憲則，法度。
42.居賄	囤積財物。
42.懷子	欒盈，欒黡之子，春秋時晉國下卿。“懷”是謚號。黡死后，其母叔祁與人私通，誣告欒盈將作亂，被驅逐到楚國。后回國，身死族滅。
42.離	同“罹”，遭受。
42.郤昭子	郤至，春秋時晉國的卿，因有軍功自傲，和郤锜、郤犨（chōu）控制朝政，被晉厲公派親信殺死，家族被誅滅。
42.三軍	晉國的軍事編制。晉文公重耳開始實行上軍、中軍、下軍的編制，每軍萬人。
42.絳	晉國的國都，今山西翼城東南。
42.三卿	即郤至，郤犨、郤锜（qí），都是晉國的卿。
42.吊	吊喪。
42.專承	獨自承受。
42.桓叔	名成師，號桓叔，晉穆侯之子。桓叔之子名萬，受封于韓邑，稱韓萬。所以，韓起尊桓叔為韓氏的祖先。
42.嘉	贊許。這里是感激的意思。
43.王孫圉	春秋末期楚大夫。
43.聘	訪問，代表本國政府訪問友邦。
43.定公	晉定公，前511年至前476年在位。
43.饗	用酒食招待客人。
43.趙簡子	趙鞅，又名志父，春秋末期晉國的卿。
43.相	相禮。輔佐國君執行禮儀。
43.珩	系在玉佩上部的橫玉。
43.觀射父	春秋末期楚大夫。
43.訓辭	外交辭令。
43.行事	交往。
43.口實	話柄。
43.倚相	春秋末期楚史官。
43.上下	指天地。
43.說	同“悅”。古代相傳，史官能和鬼神交往。
43.道	通“導”。
43.云連徒洲	即云夢澤，也稱云土，云杜，在今湖北監利縣北。
43.金	指銅、鐵等金屬。
43.箭	箭竹。
43.龜	龜甲。古代用龜甲占卜，并記載吉兇征兆。
43.珠	珍珠。古代相傳，珍珠可以防御火災。
43.角	獸角，可以做弓弩的構件。
43.齒	象牙。可以做珍貴的工藝品。
43.皮	獸皮，如虎皮可做墊席，魚皮可做盛弓箭、刀劍的囊、鞘。
43.革	犀牛皮，可做甲胄。
43.羽	鳥類的羽毛。
43.毛	旄牛尾，又叫旄頭。用來做旗桿頂端的裝飾品。
43.賦	兵賦，軍用物資。
43.戒	防備。
43.不虞	沒有料到的患難。
43.共	同“供”，供給。
43.賓	招待。
43.享	饋贈。
43.好	喜愛。
43.幣具	禮品。
43.玉	指用于祭祀的玉器。
43.憲	表明。
43.臧否	吉兇。
43.蠻夷	我國古代對東南地區少數民族的蔑稱。楚國的經濟、文化開化較晚，王孫圉謙稱蠻夷，意思是說“落后”。
44.夫差	吳王夫差，前495年至前473年在位。吳王闔閭之子。前496年，闔閭聽說越王允常去世，乘機伐越，被勾踐射傷腳趾，重傷而死。前494年，夫差伐越復仇，大敗越師。勾踐派文種去吳求和。之后，吳又興師伐越，勾踐又一次派諸稽郢去吳求和。
44.句踐	越王勾踐，前497年至前465年在位。越王允常之子。由于他牢記卑身事吳的教訓，臥薪嘗膽，長期積蓄力量，終于滅掉吳國。句，同“勾”。
44.逆	迎擊。
44.大夫種	文種，字少禽（或子禽），越大夫。
44.申胥	即伍員，字子胥，楚大夫伍奢之子。因父兄在楚國被害，入吳避禍，輔佐闔閭伐楚，報父兄之仇。吳王封以申邑，后稱申胥。在吳越戰爭中，他堅持滅越，遭到夫差忌恨，命他自殺。
44.華登	吳國大夫。原為宋人，因避禍奔吳。
44.決拾	射箭用具。決，射箭用的板指，帶在右手大指上，用它鉤弓弦。拾，皮革制品，套在左臂上，以免衣袖妨礙開弓。這里，決拾作動詞用，即佩戴決拾。
44.廣侈	擴張，這里有使存驕心的意思。
44.足	即“足慮”的意思，值得憂慮。
44.伯	通“霸”，稱霸。
44.天奪之食	指遭受天災，糧食歉收。
44.燼	灰燼。這里比喻吳國在遭受天災人禍后的殘局。
44.諸稽郢	越大夫。
44.幣	古人用于饋贈的禮品，如玉、帛、皮、馬等。
44.下執事	這里指吳王手下的辦事官員，實際上指吳王本人。諸稽郢這樣稱呼吳王，是表示對吳王的尊敬。
44.天王	對吳王的尊稱。這句話指勾踐射傷闔閭事。
44.趨玉趾	即“勞大駕”的意思。玉，對人表示尊敬之詞。趾，腳。這句話指吳國在夫椒打敗越國事。
44.孤	棄舍。
44.繄	就是。
44.孤2	這里是代勾踐自稱語。
44.邊陲	邊境。
44.頓顙	即叩頭。顙，前額。
44.鞭箠	打馬的器具，即鞭策。
44.箕帚	畚箕、笤帚。代指灑掃一類事情。
44.晐姓	納諸姓女子于天子之宮。晐，備。這里指勾踐把“嫡女”送給夫差做嬪妃。
44.盤匜	古代盥洗用具。盤，用以盛水。匜，用以注水。
44.解	通“懈”。
44.搰	掘出。這句用來比喻夫差的多疑。
44.封殖	培植。
44.刈亡	割除。
45.夫差	姬姓，吳王闔閭之子。他連續大敗越師后，因勝利而驕傲專橫，終于被勾踐打敗，身死國滅。
45.而	通“爾”。人稱代詞，你們。
45.反	同“返”。
45.振旅	興師。
45.申胥	即伍員，字子胥。原為楚人，入吳避禍，吳王封以申地，因此也稱申胥。
45.懾畏	害怕。
45.還玩	轉弄。還，通“旋”。
45.蓋威	尚威，崇尚威力。
45.好勝	喜歡勝過別人。
45.婉約	卑順委婉。
45.從逸	放縱安逸。從，通“縱”。
45.諸夏之國	指春秋時期的中原各國。
45.燼	灰燼。這里指吳國在災禍后的殘局。
45.日長炎炎	天天增長，蒸蒸日上。炎炎，興旺的樣子。
45.及	趁著。
45.虺	小蛇。
45.奚	何以，為什么。
45.曜	通“耀”，炫耀。
45.辭	謝絕。
45.口血未干	指定盟時間不長。古代舉行盟會時，殺牲飲血，以表示誠意。
45.舍	丟開。
45.荒	虛空，沒有實際行動。
46.文王	周文王，殷紂時為諸侯，稱西伯。他為建立周王朝奠定了基礎。
46.曷	通“何”。
46.王正月	上古時代，改朝換代即改變正（正月）朔（初一），以表示國運更新。這里指周歷正月。
46.大一統	天下統一，各地都服從天子的政令。
46.公	魯隱公，魯惠公妾所生的長子。惠公夫人無子，隱公因其母卑賤，故不能正式做國君。
46.反	歸還。
46.桓	魯桓公，魯惠公之子，也是庶子。其母受惠公寵愛。惠公死時，桓公年幼，由隱公攝政。后來桓公殺隱公，自立為國君。
46.國人	國都里的人。
46.扳	通“攀”，引，擁戴。
46.相	輔助。
46.適	通“嫡”，正妻。這里是正妻之子。
47.外平不書	這里指宣公十二年，楚莊王攻破鄭國，鄭伯乞降，莊王與他講和的事。《春秋》中沒有記載。外，別國。平，講和。書，記載。
47.大	贊揚。
47.平乎己	講和在于自己。此指華元、子反主動講和。
47.莊王圍宋	魯宣公十四年（前595年），楚莊王派大夫申舟到齊國去聘問，通過宋境時卻不向宋國借道。宋國大夫華元怒殺申舟，于是楚莊王便在同年九月發兵圍宋。
47.司馬子反	楚大夫。司馬，官名，掌管軍政。
47.堙	小土山，這里指用以攻城拒敵的工事。
47.柑馬	使馬嘴銜住木棍。
47.情	真實情況。
47.厄	困難。
47.矜	憐憫。
47.揖	作揖，是一種禮節。
47.反	同“返”，還。
47.曷	同“何”。
47.區區	很小的樣子。
47.在下	處在下位。
48.吳無君、無大夫	這句話是說，吳國是夷狄之邦，無儒家的君臣上下之禮。襄公十四年（前559年），吳與其他國家會盟，只稱“吳”，不知其國君和大夫的名字。
48.賢	贊許。
48.季子	季札，春秋時吳王壽夢的幼子。壽夢想立他為嗣，他堅辭不受，封于延陵。壽夢死，讓國給兄長諸樊。曾出使中原各國。
48.謁	又稱諸樊，吳王壽夢的長子。下文的余祭（zhài）、夷昧，也是壽夢的兒子。
48.弱	年少。
48.迮	倉卒。
48.輕死	對死亡不在意。
48.祝	禱告。
48.有吳國	指保存吳國。
48.亡	動詞，在外未歸。
48.僚	吳王僚。又名州于，吳王夷昧之子。曾多次興兵伐楚，后被專諸刺死。
48.長庶	眾子中最年長者。
48.君之	以之以君，把僚當作國君。
48.闔閭	名光，吳王謁之子，派專諸刺僚，自立為君，曾滅徐破楚。后在吳越戰爭中被越王勾踐射傷致死。
48.先君	已經去世的國君。這里指吳王謁、余祭和夷昧。
48.與	通“歟”。語助詞。下文“與”字同。
48.惡	怎么。
48.專諸	春秋時吳國人。公子光欲殺吳王僚自立，命他把短劍藏在魚腹中，借著宴會獻魚的機會，把吳王僚刺死，他也當場被殺。
48.弒	舊時臣下殺死君主或子女殺死父母稱“弒”。
48.吾兄	這里是“吾兄”之子的意思。指吳王僚。
48.延陵	吳邑名，在今江蘇武進縣境。
48.吳國	指吳國都城。
48.賢者不名	這里指“春秋筆法”。《春秋》作者對具有儒家德行的人，稱他的字，或稱子，反之稱他的名，以示褒貶。又古代士大夫都有名有字，稱字表示尊重。
49.段	姓姬，名段。鄭莊公的弟弟。因封在京邑，故稱京城太叔。后叛逃到共國，又稱共叔段。
49.徒眾	士兵和百姓。
49.鄭伯	指鄭莊公，前743年至前701年在位。
49.世子	古代天子和諸侯的嫡長子。
49.目	稱為，視為。
49.甚	這里是加重責備的意思。
49.鄢	鄭邑名，在今河南鄢陵縣境。
49.賊	做大壞事的人。這里指共叔段。
49.親親	親愛自己的親屬。
50.重	重視。
50.夏陽	當作“下陽”。虢邑名，在今山西平陸北。
50.虞	春秋時的小國，在今山西平陸。
50.先	先導。
50.晉	春秋時諸侯國。國都絳，在今山西翼城附近。晉軍攻打虢國，必須通過虞境。
50.主	禍首。指虞公貪圖賄賂，允許晉師借道伐虢。
50.虢	春秋時國名。這里指北虢，在今山西平陸和河南陜縣一帶。
50.晉獻公	春秋時晉國國君，前676年至前651年在位。
50.荀息	晉大夫。
50.屈	晉邑名，在今山西吉縣北。盛產良馬。
50.乘	馬四匹為一乘。這里指屈地所產的良馬。
50.垂棘	晉地名，以出產美玉著稱。
50.幣	饋贈的財物。這里指上文所說的良馬、美玉。幣本指帛，后來擴大到玉、馬、皮等物。
50.中府	國君宮中藏財寶的倉庫。下文“外府”，指宮外藏財寶的倉庫。
50.中廄	國君宮中的馬棚。下文“外廄”，指宮外的馬棚。荀息把虞國比作晉國的“外府”、“外廄”，意思是說將來滅了虞國，良馬美玉還是晉國的。
50.宮之奇	虞大夫。
50.長	長大。
50.玩好	供玩賞的物品。
50.唇亡則齒寒	嘴唇沒有了，牙齒就感到寒冷。比喻虞虢兩國關系密切，利害與共。
50.挈	帶領。
50.曹	春秋時小國，都陶丘，在今山東定陶西南。
50.五年	魯僖公五年（前655年）。
50.馬齒	馬的牙齒可以表示它的年齡。
51.晉獻公	春秋時晉國國君，前676年至前651年在位。
51.世子	古代天子或諸侯的嫡長子。晉獻公的夫人齊姜生太子申生。晉獻公又娶狐氏姊妹，生重耳、夷吾。后得驪姬，生奚齊。驪姬恃寵，圖謀廢申生立奚齊，竟在供祭祀的肉中私放毒藥，嫁禍于申生，逼迫他自殺。
51.蓋	通“盍”，何不。下文“然則蓋行乎”的“蓋”同。
51.弒	古代臣殺君或子殺父，稱弒。
51.狐突	姓狐名突，字伯。下文的“伯氏”是表示尊敬的意思。他是申生的師傅。晉獻公派申生伐東山皋落氏時，狐突曾勸他逃走，他沒有聽從。狐突在伐東山皋落氏以后，推托有病，住在家里。
51.子	指驪姬之子奚齊。
51.國家多難	指申生死后，其弟兄將因爭奪君位而相互殘殺。
51.賜	恩惠。
51.為	謂。
51.恭	申生的謚號。
52.曾子	春秋時魯國人，名參，字子輿，曾點之子，孔子的弟子。他以遵守“孝道”著稱。
52.樂正子春	曾參的弟子。樂正，公室樂官。
52.曾元、曾申	都是曾參之子。
52.隅坐	靠墻角坐著。
52.華	華美。
52.睆	光亮。
52.簀	竹席。
52.瞿然	驚駭的樣子。
52.呼	發聲欲問之詞，如“哦”字。
52.季孫	魯大夫。
52.革	危急。
53.有子	名若，字子有。
53.曾子	名參，字子輿。都是魯國人，孔子弟子。
53.問	當作“聞”。
53.喪	丟失。這里指喪失職位。
53.子游	姓言，名偃，字子游。春秋時吳國人，孔子弟子。
53.宋	古國名，在今河南商丘一帶。
53.桓司馬	桓魋（tuí），宋國的司馬（主管軍事的官）。
53.槨	套在棺材外面的大棺材。
53.若是其靡	即“其靡若是”。是，代詞，這里指“自為石槨，三年而不成”的情況。靡，奢侈。
53.南宮敬叔	也稱仲孫閱。春秋時魯國人。他曾在魯國失去官職而離開魯國。
53.反	通“返”。這里指回到魯國。
53.載寶而朝	帶著財寶朝見國君。這里是行賄的意思。
53.制	用作動詞，規定法度。
53.中都	魯邑名，在今山東汶山縣西。孔子曾在這里做地方行政長官。
53.司寇	主管司法刑獄的官。
53.荊	楚國。
53.之	通“至”。楚莊王想任用孔子，因大夫子西反對而作罷。
53.子夏	卜商，字子夏。孔子弟子，春秋時衛國人。
53.冉有	也稱冉求，字子有。孔子弟子，春秋時魯國人。
54.晉獻公	春秋時晉國國君，前676年至前651年在位。他在臨死前托大夫荀息扶立驪姬之子奚齊為君。當時公子重耳、夷吾已逃亡在外。
54.秦穆公	春秋時秦國國君，前659年至前621年在位。嬴姓，名任好。娶申生姊為夫人。
54.人	即下文的子顯，秦穆公之子。
54.寡人	國君對自己的謙稱。以下是子顯轉述秦穆公的話。
54.儼然	莊重的樣子。
54.喪	這里指失去地位，流亡在外。
54.孺子	古代能繼承君位的人。這里指重耳。
54.舅犯	即狐偃，字子犯。重耳的舅父。
54.他志	別的想法。這里指謀取君位。
54.稽顙	古代在服喪期間答拜賓客的一種禮節。下拜時，用額觸地。
54.不拜	不拜謝。這里表示重耳拒絕秦穆公策動他回國襲位的建議，故不再拜。
54.成拜	古時喪禮之一。主喪人對吊唁者先稽顙，后拜謝，稱“成拜”。重耳認為自己不是晉國君位的繼承人，故不能主喪，不行“成拜”禮。
55.知悼子	知瑩，春秋時晉大夫。
55.平公	晉平公，前557年至前532年在位。
55.師曠	春秋時晉國的著名樂師。
55.李調	晉平公的寵臣。
55.杜蕢	晉平公的廚師。
55.坐	跪。古人席地而坐，兩膝著地，臀部壓在腳跟上。
55.子卯不樂	古代相傳商紂和夏桀分別死于甲子日和乙卯日，后來就以甲子、乙卯兩日為國君的忌日，不許飲酒奏樂。
55.堂	殿堂，是舉行吉兇大禮的地方。這里指停靈在堂。
55.太師	周代對樂官的稱呼。
55.宰夫	廚師。
55.匕	羹匙。
55.共	通“供”。
55.與	參與。
55.知防	察覺和防止違禮之事。
55.觶	古時一種飲酒器具。
55.獻	這里指敬酒。
56.獻文子	即趙武。春秋時晉大夫。“獻文”是謚號。
56.發	送禮慶賀。
56.輪	高大。
56.奐	通“煥”。華麗。
56.歌	唱詩。古代祭祀時奏樂唱詩。
56.要領	古代的兩種刑罰，即腰斬和砍頭。要，通“腰”。領，頸。
56.先大夫	指趙武死去的父親、祖父。
56.九京	即九原。春秋時晉國卿大夫的墓地。
56.禱	祈福免禍。
57.蘇秦	字季子，戰國時洛陽人，縱橫家代表人物。他先用連橫之說說秦，后又主張合縱，為東方六國君主所任用。后來因在齊國為燕昭王從事反間活動，被齊發覺，車裂而死。
57.連橫	當時主張秦與齊、楚等國個別聯合，以打擊其他諸侯國的一種策略。與主張東方六國聯合抗秦的策略“合縱”相對。
57.說	勸說。
57.秦惠王	秦國國君，姓嬴，名駟，秦孝公之子。前337年至前311年在位。
57.巴	今四川東部。
57.蜀	今四川西部。
57.漢中	今陜西南部。
57.胡貉	指北方少數民族地區出產的貉皮。貉形似貍，皮可制裘。
57.代馬	指今山西、河北北部出產的馬。
57.巫山	山名，在今四川巫山縣以東。
57.黔中	地域名，指今湖南沅水、澧水流域，湖北清江流域，四川黔江流域和貴州東北部一帶。
57.殽函	崤山和函谷關的合稱。相當于今陜西潼關以東至河南新安縣境。
57.地勢形便	地理形勢，便于攻守。
57.少留意	稍加注意。
57.奏	陳述。
57.文章	這里指法令。
57.愿以異日	希望將來再領受教誨。
57.神農	傳說中上古原始氏族社會的一個首領，曾發明農業、醫藥等。
57.補遂	上古部落名。
57.黃帝	傳說中中原各族的共同祖先，有很多創造發明。
57.涿鹿	今河北涿鹿東南。
57.禽	通“擒”。
57.蚩尤	傳說中九黎族首領。
57.堯	傳說中父系氏族社會后期的一個部落聯盟首領。
57.驩兜	堯臣名，歷史上稱為兇人。
57.舜	傳說中父系氏族社會后期的一個部落聯盟首領。
57.三苗	古代部落名。在今湖北武昌、湖南岳陽、江西九江一帶。
57.禹	傳說中父系氏族社會后期的一個部落聯盟首領，也稱夏禹。
57.共工	堯舜時為水官，據說很殘暴，歷史上稱為兇人。
57.湯	商朝開國帝王，滅夏桀稱王。
57.有夏	夏朝，這里指夏桀。有，詞頭，無義。
57.文王	周武王的父親。
57.崇	商代小國名，在今陜西戶縣。這里指崇侯虎。傳說他助紂為惡，為文王誅滅。
57.武王	周朝開國帝王。
57.紂	商朝末世帝王。
57.齊桓	齊桓公，前685年至前643年在位。春秋五霸之一。
57.車轂	車輪中心的圓木，周圍與車輻的一端相接，中有圓孔，用以插軸。
57.結	結交。
57.約從	即合縱。
57.兵革	武器。
57.飭	通“飾”，巧飾。
57.聊	依賴。
57.效	獲致，爭取。
57.五帝	一般指黃帝、顓頊（zhuānxū）、帝嚳（kù）、堯、舜。
57.三王	夏商周三代開國帝王。夏禹、商湯、周文王和武王。
57.五霸	有不同說法，一般指春秋時的齊桓公、晉文公、楚莊王、秦穆公、宋襄公。
57.杖	木梃。
57.詘	通“屈”。使屈服。
57.子	動詞，以為兒子，即治理的意思。
57.元元	百姓。
57.羸縢	裹著綁腿。
57.蹻	草鞋。
57.囊	口袋。這里指行李袋。
57.黧	黃黑色。
57.纴	紡織。這里指織機。
57.喟然	長嘆聲。
57.篋	小箱子。
57.《陰符》	指姜太公（呂望）的兵法《陰符經》。
57.簡練	摘要熟讀。
57.期年	滿一年。
57.摩	走近。
57.燕烏集闕	不詳。或稱宮殿名，或稱宮闕名。闕，宮門前面兩側供瞭望的樓。
57.趙王	指趙肅侯，前349年至前326年在位。
57.抵掌	拍手。這句指談得很投機，情不自禁地拍起手來。
57.說2	通“悅”。
57.武安	地名，在今河北武安縣西南。
57.純	匹，束。
57.鎰	二十兩為一鎰。
57.廊廟	古代帝王祭祖的地方，也在此商討國政。這里指朝廷。
57.炫煌	光輝閃耀。
57.掘門	掘墻為門。
57.桑戶	桑木做的門板。
57.棬樞	用彎木枝做門軸。
57.撙銜	拉著馬韁繩。
57.伉	通“抗”，匹敵。
57.蓋	通“盍”（hé），何。
58.司馬錯	戰國時秦將。
58.張儀	戰國時魏國人，主張“連橫”的縱橫家的代表人物，曾幾次擔任秦國的相，主張用各個擊破的策略削弱六國，使秦國更加強大。后死于魏國。
58.秦惠王	即秦惠文王嬴駟，公元前337年至前311年在位。
58.三川	在今河南洛陽一帶，因境內有黃河、伊河、洛河，故稱“三川”。
58.轘轅	山名，在今河南登封西北。
58.緱氏	山名，在今河南偃師東南，地當嵩山山口。
58.屯留	在今山西屯留南。太行山的羊腸坂道通過此地。
58.南陽	在今河南焦作、博愛一帶。
58.南鄭	在今河南新鄭。
58.新城	在今河南伊川西南。
58.宜陽	在今河南宜陽西。
58.二周	戰國時期的兩個小國，西周和東周。周考王（前440年至前426年在位）封其弟姬揭于河南（在今洛陽西），是為西周桓公。歷傳威公、惠公。西周惠公時，以其長子為西周公，又于周顯王二年（前367年）封其少子于鞏（今河南鞏縣），以奉王室，是為東周惠公。從此有東西二周君。前315年，周赧王即位，遷都西周，在名義上仍是天下宗主，實即寄居西周君籬下。
58.周主	指東周、西周兩國國君。
58.九鼎	傳說夏禹造，夏商周三代傳國寶器。是古代國家政權的象征。
58.圖籍	疆域圖和戶口冊。
58.名	在句中意不可通，當是“兵”字之誤。
58.顧	反而。
58.桀紂之亂	指蜀王兄弟間的戰爭。桀紂：夏商兩朝的末代暴君。
58.繕	整治。
58.四海	當是“西海”之誤。指蜀國。這里所說的海，是財富聚積的意思。也有人認為，四海指四周地區而言。
58.附	歸屬。
58.劫	脅迫。
58.與國	友邦。
58.完	萬全。
58.陳莊	人名，秦國官吏，前314年受命出任蜀相。
